JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise|CategorieADEME
AC|Achats|AC00020|20240905|606100|Fournisseurs|FOU619|EDF Pro|FA-2409-0020|20240905|Fact. EDF _|2756,39|0,00|||20240905|0,00||Energie
AC|Achats|AC00021|20241109|606220|Fournisseurs|FOU204|Total|FA-2411-0021|20241109|Gasoil _|2971,16|0,00|||20241109|0,00||Déplacements
AC|Achats|AC00022|20241103|218300|Fournisseurs|FOU040|Apple|FA-2411-0022|20241103|Macbook|2937,89|0,00|||20241103|0,00||Achats de Biens
AC|Achats|AC00023|20240322|626000|Fournisseurs|FOU394|OVH Cloud|FA-2403-0023|20240322|serveur ovh / client|3175,42|0,00|||20240322|0,00||Achats de Services
AC|Achats|AC00024|20240106|606100|Fournisseurs|FOU623|EDF Pro|FA-2401-0024|20240106|FACT. EDF _ REF|4172,43|0,00|||20240106|0,00||Energie
AC|Achats|AC00025|20240910|218300|Fournisseurs|FOU490|Apple|FA-2409-0025|20240910|Macbook|2359,66|0,00|||20240910|0,00||Achats de Biens
AC|Achats|AC00026|20241008|218300|Fournisseurs|FOU514|Dell France|FA-2410-0026|20241008|Facture DELL -|2060,5|0,00|||20241008|0,00||Achats de Biens
AC|Achats|AC00027|20240819|218300|Fournisseurs|FOU866|Apple|FA-2408-0027|20240819|Materiel Apple _ ref|1428,15|0,00|||20240819|0,00||Achats de Biens
AC|Achats|AC00028|20240702|606100|Fournisseurs|FOU230|Engie|FA-2407-0028|20240702|Engie facture _ prelev|1292,4|0,00|||20240702|0,00||Energie
AC|Achats|AC00029|20240214|622600|Fournisseurs|FOU775|KPMG|FA-2402-0029|20240214|Prestation Conseil -|4707,91|0,00|||20240214|0,00||Achats de Services
AC|Achats|AC00030|20241105|625100|Fournisseurs|FOU265|Air France|FA-2411-0030|20241105|Vol AF  T1|1808,3|0,00|||20241105|0,00||Déplacements
AC|Achats|AC00031|20240708|606100|Fournisseurs|FOU780|TotalEnergies|FA-2407-0031|20240708|Abo Gaz / ref|3408,55|0,00|||20240708|0,00||Energie
AC|Achats|AC00032|20240322|625100|Fournisseurs|FOU014|Air France|FA-2403-0032|20240322|Air France vol / janvier|2975,21|0,00|||20240322|0,00||Déplacements
AC|Achats|AC00033|20240225|626000|Fournisseurs|FOU943|Amazon Web Services|FA-2402-0033|20240225|AWS _ n°|3144,56|0,00|||20240225|0,00||Achats de Services
AC|Achats|AC00034|20240325|606220|Fournisseurs|FOU050|Total|FA-2403-0034|20240325|Plein Total - T1|4315,69|0,00|||20240325|0,00||Déplacements
AC|Achats|AC00035|20240823|625100|Fournisseurs|FOU806|Air France|FA-2408-0035|20240823|VOL AF / N°|2248,64|0,00|||20240823|0,00||Déplacements
AC|Achats|AC00036|20241218|606220|Fournisseurs|FOU914|Total|FA-2412-0036|20241218|Station Service|2235,41|0,00|||20241218|0,00||Déplacements
AC|Achats|AC00037|20240916|218300|Fournisseurs|FOU104|Apple|FA-2409-0037|20240916|Materiel Apple  cb|1230,27|0,00|||20240916|0,00||Achats de Biens
AC|Achats|AC00038|20240221|625100|Fournisseurs|FOU225|Vinci Autoroutes|FA-2402-0038|20240221|AUTOROUTE /|2646,75|0,00|||20240221|0,00||Déplacements
AC|Achats|AC00039|20240511|625100|Fournisseurs|FOU160|Vinci Autoroutes|FA-2405-0039|20240511|Peage _ mars|2408,2|0,00|||20240511|0,00||Déplacements
AC|Achats|AC00040|20240305|626000|Fournisseurs|FOU815|Amazon Web Services|FA-2403-0040|20240305|Abo AWS _ 2024|2760,79|0,00|||20240305|0,00||Achats de Services
AC|Achats|AC00041|20241211|218300|Fournisseurs|FOU550|Dell France|FA-2412-0041|20241211|Dell XPS  n°|2752,61|0,00|||20241211|0,00||Achats de Biens
AC|Achats|AC00042|20240215|218300|Fournisseurs|FOU571|Apple|FA-2402-0042|20240215|Iphone|3161,41|0,00|||20240215|0,00||Achats de Biens
AC|Achats|AC00043|20240321|625100|Fournisseurs|FOU137|Air France|FA-2403-0043|20240321|billet avion / n°|173,73|0,00|||20240321|0,00||Déplacements
AC|Achats|AC00044|20240924|606100|Fournisseurs|FOU429|Engie|FA-2409-0044|20240924|Gaz Engieprelev|4432,58|0,00|||20240924|0,00||Energie
AC|Achats|AC00045|20241030|625100|Fournisseurs|FOU288|Vinci Autoroutes|FA-2410-0045|20241030|Autoroute _ T1|320,52|0,00|||20241030|0,00||Déplacements
AC|Achats|AC00046|20240620|606100|Fournisseurs|FOU327|Engie|FA-2406-0046|20240620|Elec Engie|3760,19|0,00|||20240620|0,00||Energie
AC|Achats|AC00047|20240618|606400|Fournisseurs|FOU211|Boulanger|FA-2406-0047|20240618|Ecran PC -|2466,86|0,00|||20240618|0,00||Achats de Biens
AC|Achats|AC00048|20240116|218300|Fournisseurs|FOU192|Apple|FA-2401-0048|20240116|Macbook|4856,84|0,00|||20240116|0,00||Achats de Biens
AC|Achats|AC00049|20240526|606400|Fournisseurs|FOU518|Boulanger|FA-2405-0049|20240526|Clavier Souris _ n°|2114,24|0,00|||20240526|0,00||Achats de Biens
AC|Achats|AC00050|20240216|218300|Fournisseurs|FOU418|Dell France|FA-2402-0050|20240216|ORDI DELL|2989,25|0,00|||20240216|0,00||Achats de Biens
AC|Achats|AC00051|20240128|606100|Fournisseurs|FOU927|EDF Pro|FA-2401-0051|20240128|Fact. EDF /|3965,37|0,00|||20240128|0,00||Energie
AC|Achats|AC00052|20240309|622600|Fournisseurs|FOU855|Malt|FA-2403-0052|20240309|Malt Fact.|4213,72|0,00|||20240309|0,00||Achats de Services
AC|Achats|AC00053|20240504|218300|Fournisseurs|FOU174|Dell France|FA-2405-0053|20240504|Ordi Dell|1659,74|0,00|||20240504|0,00||Achats de Biens
AC|Achats|AC00054|20240916|625100|Fournisseurs|FOU611|SNCF|FA-2409-0054|20240916|FACT. SNCFCB|3252,05|0,00|||20240916|0,00||Déplacements
AC|Achats|AC00055|20240528|606220|Fournisseurs|FOU945|Total|FA-2405-0055|20240528|Gasoil / janvier|1122,29|0,00|||20240528|0,00||Déplacements
AC|Achats|AC00056|20241203|606100|Fournisseurs|FOU236|Engie|FA-2412-0056|20241203|Engie facturen°|3277,44|0,00|||20241203|0,00||Energie
AC|Achats|AC00057|20240929|626000|Fournisseurs|FOU347|OVH Cloud|FA-2409-0057|20240929|Serveur OVH _ T2|1368,06|0,00|||20240929|0,00||Achats de Services
AC|Achats|AC00058|20240212|606400|Fournisseurs|FOU321|Bureau Vallee|FA-2402-0058|20240212|Fournitures bureau /|3144,53|0,00|||20240212|0,00||Achats de Biens
AC|Achats|AC00059|20241121|218300|Fournisseurs|FOU988|Dell France|FA-2411-0059|20241121|Ordi Dellmars|1565,69|0,00|||20241121|0,00||Achats de Biens
AC|Achats|AC00060|20240826|218300|Fournisseurs|FOU298|Dell France|FA-2408-0060|20240826|Dell XPS / prelev|1153,55|0,00|||20240826|0,00||Achats de Biens
AC|Achats|AC00061|20240512|622600|Fournisseurs|FOU988|Malt|FA-2405-0061|20240512|PRESTATION FREELANCE|4693,78|0,00|||20240512|0,00||Achats de Services
AC|Achats|AC00062|20240412|218300|Fournisseurs|FOU675|Dell France|FA-2404-0062|20240412|Materiel Info - virement|324,01|0,00|||20240412|0,00||Achats de Biens
AC|Achats|AC00063|20240106|626000|Fournisseurs|FOU861|Orange Pro|FA-2401-0063|20240106|Abo Internet _|2631,21|0,00|||20240106|0,00||Achats de Services
AC|Achats|AC00064|20241112|606220|Fournisseurs|FOU597|Total|FA-2411-0064|20241112|CARBURANT|1914,24|0,00|||20241112|0,00||Déplacements
AC|Achats|AC00065|20240824|606400|Fournisseurs|FOU264|Boulanger|FA-2408-0065|20240824|achats boulangerreglement|3336,91|0,00|||20240824|0,00||Achats de Biens
AC|Achats|AC00066|20240921|218300|Fournisseurs|FOU757|Dell France|FA-2409-0066|20240921|Achat PC / T2|923,11|0,00|||20240921|0,00||Achats de Biens
AC|Achats|AC00067|20240227|625100|Fournisseurs|FOU943|SNCF|FA-2402-0067|20240227|TGV INOUI -|4574,53|0,00|||20240227|0,00||Déplacements
AC|Achats|AC00068|20240703|606100|Fournisseurs|FOU958|Engie|FA-2407-0068|20240703|Gaz Engie _ mars|4656,98|0,00|||20240703|0,00||Energie
AC|Achats|AC00069|20241202|606100|Fournisseurs|FOU469|Engie|FA-2412-0069|20241202|Elec Engie /|3775,83|0,00|||20241202|0,00||Energie
AC|Achats|AC00070|20240412|218300|Fournisseurs|FOU594|Dell France|FA-2404-0070|20240412|Materiel Info /|2093,45|0,00|||20240412|0,00||Achats de Biens
AC|Achats|AC00071|20241122|606220|Fournisseurs|FOU336|Total|FA-2411-0071|20241122|péage - prelev|4772,24|0,00|||20241122|0,00||Déplacements
AC|Achats|AC00072|20240925|626000|Fournisseurs|FOU642|OVH Cloud|FA-2409-0072|20240925|Abo OVH  client|2264,81|0,00|||20240925|0,00||Achats de Services
AC|Achats|AC00073|20241112|622600|Fournisseurs|FOU845|KPMG|FA-2411-0073|20241112|Audit  fev|2311,19|0,00|||20241112|0,00||Achats de Services
AC|Achats|AC00074|20240628|622600|Fournisseurs|FOU168|Malt|FA-2406-0074|20240628|Malt Developpeur _|3179,69|0,00|||20240628|0,00||Achats de Services
AC|Achats|AC00075|20240806|626000|Fournisseurs|FOU818|Amazon Web Services|FA-2408-0075|20240806|serveurs amazon|3540,29|0,00|||20240806|0,00||Achats de Services
AC|Achats|AC00076|20240425|625100|Fournisseurs|FOU556|Vinci Autoroutes|FA-2404-0076|20240425|Autoroute|1367,66|0,00|||20240425|0,00||Déplacements
AC|Achats|AC00077|20240428|622600|Fournisseurs|FOU990|Malt|FA-2404-0077|20240428|malt fact. / cb|2643,59|0,00|||20240428|0,00||Achats de Services
AC|Achats|AC00078|20241128|606100|Fournisseurs|FOU133|Engie|FA-2411-0078|20241128|Gaz Engie -|2827,67|0,00|||20241128|0,00||Energie
AC|Achats|AC00079|20240315|606220|Fournisseurs|FOU371|Total|FA-2403-0079|20240315|Plein TotalT1|4023,05|0,00|||20240315|0,00||Déplacements
AC|Achats|AC00080|20241011|606100|Fournisseurs|FOU989|TotalEnergies|FA-2410-0080|20241011|Abo Gaz - prelev|1395,71|0,00|||20241011|0,00||Energie
AC|Achats|AC00081|20241207|625100|Fournisseurs|FOU525|Air France|FA-2412-0081|20241207|Deplacement avion|4275,32|0,00|||20241207|0,00||Déplacements
AC|Achats|AC00082|20240619|622600|Fournisseurs|FOU387|KPMG|FA-2406-0082|20240619|Facture KPMGcb|2243,47|0,00|||20240619|0,00||Achats de Services
AC|Achats|AC00083|20240102|218300|Fournisseurs|FOU157|Apple|FA-2401-0083|20240102|Apple Storeref|2664,34|0,00|||20240102|0,00||Achats de Biens
AC|Achats|AC00084|20241018|606220|Fournisseurs|FOU026|Total|FA-2410-0084|20241018|Station Service  n°|3430,2|0,00|||20241018|0,00||Déplacements
AC|Achats|AC00085|20241004|622600|Fournisseurs|FOU971|KPMG|FA-2410-0085|20241004|Facture KPMG /|335,07|0,00|||20241004|0,00||Achats de Services
AC|Achats|AC00086|20240520|625100|Fournisseurs|FOU336|Air France|FA-2405-0086|20240520|Vol AF  ref|4774,59|0,00|||20240520|0,00||Déplacements
AC|Achats|AC00087|20240215|218300|Fournisseurs|FOU564|Dell France|FA-2402-0087|20240215|ACHAT PC _ MARS|2828,63|0,00|||20240215|0,00||Achats de Biens
AC|Achats|AC00088|20240720|626000|Fournisseurs|FOU640|Orange Pro|FA-2407-0088|20240720|Orange Fibre _ client|4275,82|0,00|||20240720|0,00||Achats de Services
AC|Achats|AC00089|20241220|625100|Fournisseurs|FOU814|Vinci Autoroutes|FA-2412-0089|20241220|AUTOROUTE / PRELEV|468,28|0,00|||20241220|0,00||Déplacements
AC|Achats|AC00090|20241209|622600|Fournisseurs|FOU217|KPMG|FA-2412-0090|20241209|Facture KPMG / n°|2102,12|0,00|||20241209|0,00||Achats de Services
AC|Achats|AC00091|20240730|606220|Fournisseurs|FOU892|Total|FA-2407-0091|20240730|Plein Total / mars|860,91|0,00|||20240730|0,00||Déplacements
AC|Achats|AC00092|20240119|218300|Fournisseurs|FOU498|Apple|FA-2401-0092|20240119|apple store|3720,02|0,00|||20240119|0,00||Achats de Biens
AC|Achats|AC00093|20240615|606400|Fournisseurs|FOU958|Boulanger|FA-2406-0093|20240615|achats boulanger -|2283,93|0,00|||20240615|0,00||Achats de Biens
AC|Achats|AC00094|20240323|625100|Fournisseurs|FOU154|SNCF|FA-2403-0094|20240323|sncf -|1359,7|0,00|||20240323|0,00||Déplacements
AC|Achats|AC00095|20241001|622600|Fournisseurs|FOU519|Malt|FA-2410-0095|20241001|Malt Fact. /|3144,68|0,00|||20241001|0,00||Achats de Services
AC|Achats|AC00096|20240530|606100|Fournisseurs|FOU079|Engie|FA-2405-0096|20240530|ELEC ENGIE /|1956,33|0,00|||20240530|0,00||Energie
AC|Achats|AC00097|20240131|606400|Fournisseurs|FOU185|Boulanger|FA-2401-0097|20240131|Fournitures|4280,76|0,00|||20240131|0,00||Achats de Biens
AC|Achats|AC00098|20240922|606100|Fournisseurs|FOU507|TotalEnergies|FA-2409-0098|20240922|FACTURE GAZ|3606,88|0,00|||20240922|0,00||Energie
AC|Achats|AC00099|20240828|622600|Fournisseurs|FOU623|Malt|FA-2408-0099|20240828|MALT FACT.|1659,9|0,00|||20240828|0,00||Achats de Services
AC|Achats|AC00100|20240110|606100|Fournisseurs|FOU706|Engie|FA-2401-0100|20240110|elec engiet2|4163,85|0,00|||20240110|0,00||Energie
AC|Achats|AC00101|20240920|625100|Fournisseurs|FOU845|SNCF|FA-2409-0101|20240920|Billet SNCF -|4672,65|0,00|||20240920|0,00||Déplacements
AC|Achats|AC00102|20240517|622600|Fournisseurs|FOU967|KPMG|FA-2405-0102|20240517|Audit -|1493,77|0,00|||20240517|0,00||Achats de Services
AC|Achats|AC00103|20240528|606100|Fournisseurs|FOU815|Engie|FA-2405-0103|20240528|Elec Engie _|3226,12|0,00|||20240528|0,00||Energie
AC|Achats|AC00104|20240415|622600|Fournisseurs|FOU759|Malt|FA-2404-0104|20240415|malt developpeur / janvier|3357,82|0,00|||20240415|0,00||Achats de Services
AC|Achats|AC00105|20240726|622600|Fournisseurs|FOU719|KPMG|FA-2407-0105|20240726|Prestation Conseil  reglement|3241,15|0,00|||20240726|0,00||Achats de Services
AC|Achats|AC00106|20241009|606100|Fournisseurs|FOU140|TotalEnergies|FA-2410-0106|20241009|Totalprelev|1575,95|0,00|||20241009|0,00||Energie
AC|Achats|AC00107|20240705|606400|Fournisseurs|FOU172|Boulanger|FA-2407-0107|20240705|Fournitures /|3701,67|0,00|||20240705|0,00||Achats de Biens
AC|Achats|AC00108|20240113|625100|Fournisseurs|FOU685|Vinci Autoroutes|FA-2401-0108|20240113|Autoroute _|4932,81|0,00|||20240113|0,00||Déplacements
AC|Achats|AC00109|20241021|606400|Fournisseurs|FOU101|Bureau Vallee|FA-2410-0109|20241021|Bureau Vallee _ 2024|197,19|0,00|||20241021|0,00||Achats de Biens
AC|Achats|AC00110|20240420|606220|Fournisseurs|FOU463|Total|FA-2404-0110|20240420|Plein Total -|2449,21|0,00|||20240420|0,00||Déplacements
AC|Achats|AC00111|20240406|218300|Fournisseurs|FOU171|Apple|FA-2404-0111|20240406|MACBOOK  REF|4339,29|0,00|||20240406|0,00||Achats de Biens
AC|Achats|AC00112|20241113|625100|Fournisseurs|FOU006|Vinci Autoroutes|FA-2411-0112|20241113|Autoroute  janvier|4955,91|0,00|||20241113|0,00||Déplacements
AC|Achats|AC00113|20241016|625100|Fournisseurs|FOU871|Vinci Autoroutes|FA-2410-0113|20241016|AUTOROUTE  REGLEMENT|3573,36|0,00|||20241016|0,00||Déplacements
AC|Achats|AC00114|20240217|218300|Fournisseurs|FOU241|Apple|FA-2402-0114|20240217|Macbookmars|735,22|0,00|||20240217|0,00||Achats de Biens
AC|Achats|AC00115|20240907|625100|Fournisseurs|FOU305|Air France|FA-2409-0115|20240907|Billet Avion|2242,79|0,00|||20240907|0,00||Déplacements
AC|Achats|AC00116|20240419|606100|Fournisseurs|FOU714|Engie|FA-2404-0116|20240419|Elec Engie|4671,45|0,00|||20240419|0,00||Energie
AC|Achats|AC00117|20241130|606100|Fournisseurs|FOU794|EDF Pro|FA-2411-0117|20241130|Fact. EDF -|1807,48|0,00|||20241130|0,00||Energie
AC|Achats|AC00118|20240410|606220|Fournisseurs|FOU903|Total|FA-2404-0118|20240410|Essence _ virement|3530,25|0,00|||20240410|0,00||Déplacements
AC|Achats|AC00119|20240114|606400|Fournisseurs|FOU049|Bureau Vallee|FA-2401-0119|20240114|ramette papier|1632,36|0,00|||20240114|0,00||Achats de Biens
AC|Achats|AC00120|20241010|625100|Fournisseurs|FOU082|Air France|FA-2410-0120|20241010|Billet Avion -|4525,8|0,00|||20241010|0,00||Déplacements
AC|Achats|AC00121|20241104|625100|Fournisseurs|FOU005|Air France|FA-2411-0121|20241104|Air France vol _|2462,84|0,00|||20241104|0,00||Déplacements
AC|Achats|AC00122|20240331|606100|Fournisseurs|FOU368|TotalEnergies|FA-2403-0122|20240331|facture gaz /|2561,26|0,00|||20240331|0,00||Energie
AC|Achats|AC00123|20241206|625100|Fournisseurs|FOU368|Air France|FA-2412-0123|20241206|Vol AF /|2774,11|0,00|||20241206|0,00||Déplacements
AC|Achats|AC00124|20240720|606400|Fournisseurs|FOU778|Bureau Vallee|FA-2407-0124|20240720|PAPETERIE  N°|3977,22|0,00|||20240720|0,00||Achats de Biens
AC|Achats|AC00125|20240729|606100|Fournisseurs|FOU397|Engie|FA-2407-0125|20240729|Engie facture _|4840,87|0,00|||20240729|0,00||Energie
AC|Achats|AC00126|20240423|625100|Fournisseurs|FOU823|SNCF|FA-2404-0126|20240423|sncf voyage  client|1485,98|0,00|||20240423|0,00||Déplacements
AC|Achats|AC00127|20240423|622600|Fournisseurs|FOU419|KPMG|FA-2404-0127|20240423|Facture KPMG _ reglement|4572,24|0,00|||20240423|0,00||Achats de Services
AC|Achats|AC00128|20240119|626000|Fournisseurs|FOU371|Orange Pro|FA-2401-0128|20240119|Forfait Mobile / n°|22,61|0,00|||20240119|0,00||Achats de Services
AC|Achats|AC00129|20241025|625100|Fournisseurs|FOU131|SNCF|FA-2410-0129|20241025|sncf|4567,11|0,00|||20241025|0,00||Déplacements
AC|Achats|AC00130|20240205|622600|Fournisseurs|FOU356|Malt|FA-2402-0130|20240205|Malt Developpeur|2797,35|0,00|||20240205|0,00||Achats de Services
AC|Achats|AC00131|20240726|606220|Fournisseurs|FOU715|Total|FA-2407-0131|20240726|Carburant - virement|4790,65|0,00|||20240726|0,00||Déplacements
AC|Achats|AC00132|20241124|625100|Fournisseurs|FOU586|SNCF|FA-2411-0132|20241124|billet sncf /|4988,51|0,00|||20241124|0,00||Déplacements
AC|Achats|AC00133|20240808|622600|Fournisseurs|FOU313|KPMG|FA-2408-0133|20240808|HONORAIRES CAC|1427,53|0,00|||20240808|0,00||Achats de Services
AC|Achats|AC00134|20240404|218300|Fournisseurs|FOU638|Apple|FA-2404-0134|20240404|Materiel Apple /|1844,67|0,00|||20240404|0,00||Achats de Biens
AC|Achats|AC00135|20240415|626000|Fournisseurs|FOU114|OVH Cloud|FA-2404-0135|20240415|Serveur OVH _|834,13|0,00|||20240415|0,00||Achats de Services
AC|Achats|AC00136|20241002|625100|Fournisseurs|FOU610|Air France|FA-2410-0136|20241002|air rance volcb|3146,65|0,00|||20241002|0,00||Déplacements
AC|Achats|AC00137|20240810|218300|Fournisseurs|FOU127|Dell France|FA-2408-0137|20240810|Facture DELL  fev|4620,7|0,00|||20240810|0,00||Achats de Biens
AC|Achats|AC00138|20240402|626000|Fournisseurs|FOU417|Amazon Web Services|FA-2404-0138|20240402|AWS /|901,97|0,00|||20240402|0,00||Achats de Services
AC|Achats|AC00139|20241108|625100|Fournisseurs|FOU202|Vinci Autoroutes|FA-2411-0139|20241108|Autoroute / cb|3630,94|0,00|||20241108|0,00||Déplacements
AC|Achats|AC00140|20241212|606400|Fournisseurs|FOU403|Bureau Vallee|FA-2412-0140|20241212|Fournitures bureau|3441,56|0,00|||20241212|0,00||Achats de Biens
AC|Achats|AC00141|20241219|606100|Fournisseurs|FOU127|Engie|FA-2412-0141|20241219|Elec Engie /|1451,05|0,00|||20241219|0,00||Energie
AC|Achats|AC00142|20240928|606100|Fournisseurs|FOU938|TotalEnergies|FA-2409-0142|20240928|Total - reglement|4565,65|0,00|||20240928|0,00||Energie
AC|Achats|AC00143|20240201|606100|Fournisseurs|FOU808|TotalEnergies|FA-2402-0143|20240201|Totalclient|3683,99|0,00|||20240201|0,00||Energie
AC|Achats|AC00144|20240718|218300|Fournisseurs|FOU691|Dell France|FA-2407-0144|20240718|Dell XPS|4686,21|0,00|||20240718|0,00||Achats de Biens
AC|Achats|AC00145|20240904|622600|Fournisseurs|FOU579|KPMG|FA-2409-0145|20240904|Honoraires CAC -|2992,71|0,00|||20240904|0,00||Achats de Services
AC|Achats|AC00146|20241101|625100|Fournisseurs|FOU113|Air France|FA-2411-0146|20241101|Air France vol - 2024|2876,1|0,00|||20241101|0,00||Déplacements
AC|Achats|AC00147|20240404|622600|Fournisseurs|FOU407|Malt|FA-2404-0147|20240404|Malt Fact. _|3124,57|0,00|||20240404|0,00||Achats de Services
AC|Achats|AC00148|20240210|625100|Fournisseurs|FOU200|SNCF|FA-2402-0148|20240210|Fact. SNCF - n°|4862,32|0,00|||20240210|0,00||Déplacements
AC|Achats|AC00149|20240216|606220|Fournisseurs|FOU058|Total|FA-2402-0149|20240216|Péageref|831,18|0,00|||20240216|0,00||Déplacements
AC|Achats|AC00150|20240602|626000|Fournisseurs|FOU029|OVH Cloud|FA-2406-0150|20240602|OVH / prelev|325,34|0,00|||20240602|0,00||Achats de Services
AC|Achats|AC00151|20240227|218300|Fournisseurs|FOU073|Dell France|FA-2402-0151|20240227|Materiel Info _|1629,71|0,00|||20240227|0,00||Achats de Biens
AC|Achats|AC00152|20240325|218300|Fournisseurs|FOU284|Dell France|FA-2403-0152|20240325|Dell XPS _ 2024|3463,98|0,00|||20240325|0,00||Achats de Biens
AC|Achats|AC00153|20240425|626000|Fournisseurs|FOU849|Amazon Web Services|FA-2404-0153|20240425|Abo AWS|1943,99|0,00|||20240425|0,00||Achats de Services
AC|Achats|AC00154|20240511|606100|Fournisseurs|FOU039|Engie|FA-2405-0154|20240511|Engie facture|1280,46|0,00|||20240511|0,00||Energie
AC|Achats|AC00155|20240928|622600|Fournisseurs|FOU566|Malt|FA-2409-0155|20240928|Malt Fact. _ cb|3556,8|0,00|||20240928|0,00||Achats de Services
AC|Achats|AC00156|20240128|606100|Fournisseurs|FOU445|Engie|FA-2401-0156|20240128|ELEC ENGIE|3738,57|0,00|||20240128|0,00||Energie
AC|Achats|AC00157|20240830|218300|Fournisseurs|FOU631|Apple|FA-2408-0157|20240830|Macbook _ reglement|4847,81|0,00|||20240830|0,00||Achats de Biens
AC|Achats|AC00158|20240806|626000|Fournisseurs|FOU427|Orange Pro|FA-2408-0158|20240806|Abo Internet - T1|4850,89|0,00|||20240806|0,00||Achats de Services
AC|Achats|AC00159|20240826|606220|Fournisseurs|FOU027|Total|FA-2408-0159|20240826|CARBURANTT2|1338,18|0,00|||20240826|0,00||Déplacements
AC|Achats|AC00160|20241125|218300|Fournisseurs|FOU109|Dell France|FA-2411-0160|20241125|MATERIEL INFO|1892,87|0,00|||20241125|0,00||Achats de Biens
AC|Achats|AC00161|20240508|218300|Fournisseurs|FOU915|Apple|FA-2405-0161|20240508|Materiel Apple _ n°|1133,92|0,00|||20240508|0,00||Achats de Biens
AC|Achats|AC00162|20241118|625100|Fournisseurs|FOU689|Air France|FA-2411-0162|20241118|Vol AF / 2024|1225,65|0,00|||20241118|0,00||Déplacements
AC|Achats|AC00163|20240404|606100|Fournisseurs|FOU252|Engie|FA-2404-0163|20240404|ENGIE FACTURE / MARS|2814,1|0,00|||20240404|0,00||Energie
AC|Achats|AC00164|20240926|606400|Fournisseurs|FOU249|Bureau Vallee|FA-2409-0164|20240926|Papeterie /|3029,35|0,00|||20240926|0,00||Achats de Biens
